  PID TTY           TIME CMD
16096 ??         0:00.27 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
16097 ??         0:28.78 /Applications/Microsoft Outlook.app/Contents/MacOS/Microsoft Outlook
16098 ??         0:00.04 /usr/libexec/nsurlsessiond
16099 ??         0:56.41 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
16100 ??         0:05.67 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
16102 ??         2:10.96 /Applications/Sublime Text.app/Contents/MacOS/Sublime Text
16125 ??         0:00.08 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
16128 ??         0:00.02 /Applications/Google Chrome.app/Contents/Versions/48.0.2564.109/Google Chrome Framework.framework/Helpers/crashpad_handler --database=/Users/richardmedina/Library/Application Support/Google/Chrome/Crashpad --url=https://clients2.google.com/cr/report --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=48.0.2564.109 --handshake-fd=8
16129 ??         0:00.16 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
16130 ??         0:11.90 /Applications/Google Chrome.app/Contents/Versions/48.0.2564.109/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --channel=16099.0.567366040 --supports-dual-gpus=false --gpu-driver-bug-workarounds=15,16,30,35,39,48,52,59,65 --gpu-vendor-id=0x8086 --gpu-device-id=0x162b --gpu-driver-vendor --gpu-driver-version
16133 ??         0:00.10 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
16135 ??         0:03.76 /System/Library/PrivateFrameworks/CalendarAgent.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
16142 ??         0:00.02 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
16144 ??         0:00.05 /System/Library/CoreServices/pbs
16148 ??         0:00.09 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell -psn_0_5535047
16157 ??         0:01.31 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
16158 ??         0:00.04 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
16159 ??         0:00.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
16160 ??         0:03.33 /Applications/Sublime Text.app/Contents/MacOS/plugin_host 16102
16161 ??         0:00.31 /Library/Application Support/Microsoft/MAU2.0/Microsoft AutoUpdate.app/Contents/MacOS/Microsoft AU Daemon.app/Contents/MacOS/Microsoft AU Daemon -psn_0_5555532
16163 ??         0:00.07 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeinappd
16164 ??         0:21.05 /Applications/Google Chrome.app/Contents/Versions/48.0.2564.109/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=renderer --lang=en-US --force-fieldtrials=AffiliationBasedMatching/EnabledThroughFieldTrial/AppBannerTriggering/Aggressive/AutofillProfileOrderByFrecency/Enabled/AutomaticTabDiscarding/Default/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Disabled/*ChromeSuggestions/Default/*ClientSideDetectionModel/Model0/*CrossDevicePromo/Control/*ExtensionActionRedesign/Default/*ExtensionDeveloperModeWarning/Default/*ExtensionInstallVerification/None/*GFE/Default/InstanceID/Enabled/*IntelligentSessionRestore/Enabled2/*MacMemoryMechanism/Posix/*OmniboxBundledExperimentV1/StableHQPFrequencyBugFix_PrePeriod_3/PasswordBranding/Disabled/*PasswordGeneration/Disabled/*PasswordManagerSettingsMigration/Disable/*QUIC/Disabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/*SafeBrowsingIncidentReportingService/Default/SafeBrowsingUnverifiedDownloads/DisableByParameterMostSbTypes2/SafeBrowsingUpdateFrequency/Default/SlimmingPaint/EnableSlimmingPaint/*SpdyEnableDependencies/Control/*UMA-Dynamic-Uniformity-Trial/Group6/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/group_01/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/WebRTC-LocalIPPermissionCheck/Default/WebRTC-PeerConnectionDTLS1.2/Enabled/ --extension-process --enable-webrtc-hw-h264-encoding --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-zero-copy --content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,3553,34037,3553,34037,34037 --video-image-texture-target=34037 --channel=16099.2.665688706
16166 ??         0:00.05 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
16169 ??         0:00.75 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
16176 ??         0:00.04 /usr/bin/ssh-agent -l
16202 ??         0:01.01 /Applications/Google Drive.app/Contents/PlugIns/FinderSyncAPIExtension.appex/Contents/MacOS/FinderSyncAPIExtension
16213 ??         0:00.39 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
16214 ??         0:00.28 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
16216 ??         0:00.03 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
16217 ??         0:00.03 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
16219 ??         0:00.14 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
16229 ??         0:00.27 /Library/DropboxHelperTools/Dropbox_u502/dbfseventsd
16231 ??         0:01.22 /Library/DropboxHelperTools/Dropbox_u502/dbfseventsd
16232 ??         0:00.84 /Library/DropboxHelperTools/Dropbox_u502/dbfseventsd
16237 ??         0:00.30 /Applications/Dropbox.app/Contents/PlugIns/garcon.appex/Contents/MacOS/garcon
16251 ??         0:00.19 /System/Library/Image Capture/Support/Image Capture Extension.app/Contents/MacOS/Image Capture Extension
16253 ??         0:00.03 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool agent
16317 ??         0:01.33 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
16322 ??         0:00.27 /System/Library/PrivateFrameworks/CoreSpotlight.framework/Support/com.apple.spotlight.IndexAgent
16331 ??         0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
16337 ??         0:27.70 /Applications/Google Chrome.app/Contents/Versions/48.0.2564.109/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=renderer --lang=en-US --force-fieldtrials=*AffiliationBasedMatching/EnabledThroughFieldTrial/AppBannerTriggering/Aggressive/AutofillProfileOrderByFrecency/Enabled/AutomaticTabDiscarding/Default/CaptivePortalInterstitial/Enabled/*ChildAccountDetection/Disabled/*ChromeSuggestions/Default/*ClientSideDetectionModel/Model0/*CrossDevicePromo/Control/*ExtensionActionRedesign/Default/*ExtensionDeveloperModeWarning/Default/*ExtensionInstallVerification/None/*GFE/Default/InstanceID/Enabled/*IntelligentSessionRestore/Enabled2/*MacMemoryMechanism/Posix/*OmniboxBundledExperimentV1/StableHQPFrequencyBugFix_PrePeriod_3/PasswordBranding/Disabled/*PasswordGeneration/Disabled/*PasswordManagerSettingsMigration/Disable/*QUIC/Disabled/ReportCertificateErrors/ShowAndPossiblySend/*ResourcePriorities/Disabled/SHA1IdentityUIWarning/Enabled/SHA1ToolbarUIJanuary2016/Warning/SHA1ToolbarUIJanuary2017/Error/*SafeBrowsingIncidentReportingService/Default/SafeBrowsingUnverifiedDownloads/DisableByParameterMostSbTypes2/SafeBrowsingUpdateFrequency/Default/SlimmingPaint/EnableSlimmingPaint/*SpdyEnableDependencies/Control/*UMA-Dynamic-Uniformity-Trial/Group6/*UMA-Population-Restrict/normal/*UMA-Uniformity-Trial-100-Percent/group_01/*UMA-Uniformity-Trial-20-Percent/group_01/*UMA-Uniformity-Trial-50-Percent/default/*UseDelayAgnosticAEC/DefaultEnabled/*VarationsServiceControl/Interval_30min/WebRTC-LocalIPPermissionCheck/Default/WebRTC-PeerConnectionDTLS1.2/Enabled/ --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --num-raster-threads=2 --enable-zero-copy --content-image-texture-target=3553,3553,3553,3553,3553,34037,3553,3553,3553,3553,34037,3553,34037,34037 --video-image-texture-target=34037 --channel=16099.5.526722706
16355 ??         0:00.03 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
16358 ??         0:03.63 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
16425 ??         0:00.02 /usr/libexec/USBAgent
16437 ??         0:25.25 /Applications/Microsoft Excel.app/Contents/MacOS/Microsoft Excel -psn_0_5674345
16441 ??         0:00.23 /System/Library/CoreServices/ScopedBookmarkAgent
16459 ??         0:00.91 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
16541 ??         0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
16835 ??         0:00.30 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
16877 ??         0:00.12 /System/Library/SystemConfiguration/EAPOLController.bundle/Contents/Resources/eapolclient -i en0 -u 502 -g 20
16886 ??         0:00.03 /usr/sbin/netbiosd
17198 ??         0:30.01 /Applications/Microsoft PowerPoint.app/Contents/MacOS/Microsoft PowerPoint -psn_0_5764479
17213 ??         0:04.77 /Applications/Preview.app/Contents/MacOS/Preview
17214 ??         0:00.01 /Applications/Preview.app/Contents/XPCServices/com.apple.Preview.TrustedBookmarksService.xpc/Contents/MacOS/com.apple.Preview.TrustedBookmarksService
17242 ??         0:00.28 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
17243 ??         0:00.22 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
